id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1095211,"ENSG00000142765",59148,"SYTL1","synaptotagmin-like 1",84958,"1","n/a","n/a"
1094400,"ENSG00000137501",34132,"SYTL2","synaptotagmin-like 2",54843,"11","n/a","n/a"
1098362,"ENSG00000164674",60765,"SYTL3","synaptotagmin-like 3",94120,"6","n/a","n/a"
1089549,"ENSG00000102362",60766,"SYTL4","synaptotagmin-like 4",94121,"X","n/a","n/a"
1095836,"ENSG00000147041",60767,"SYTL5","synaptotagmin-like 5",94122,"X","n/a","n/a"
1098671,"ENSG00000165929",78937,"TC2N","tandem C2 domains, nuclear",123036,"14","n/a","n/a"
1103173,"ENSG00000186815",32853,"TPCN1","two pore segment channel 1",53373,"12","n/a","n/a"
1097659,"ENSG00000162341",85589,"TPCN2","two pore segment channel 2",219931,"11","n/a","n/a"
1105215,"ENSG00000204613",9962,"TRIM10","tripartite motif containing 10",10107,"6","n/a","n/a"
1096701,"ENSG00000154370",57261,"TRIM11","tripartite motif containing 11",81559,"1","n/a","n/a"
1105342,"ENSG00000204977",10060,"TRIM13","tripartite motif containing 13",10206,"13","n/a","n/a"
1090249,"ENSG00000106785",9686,"TRIM14","tripartite motif containing 14",9830,"9","n/a","n/a"
1090427,"ENSG00000108448",80590,"TRIM16L","tripartite motif containing 16-like",147166,"17","n/a","n/a"
1097823,"ENSG00000162931",30609,"TRIM17","tripartite motif containing 17",51127,"1","n/a","n/a"
1093444,"ENSG00000132109",6697,"TRIM21","tripartite motif containing 21",6737,"11","n/a","n/a"
1093465,"ENSG00000132274",10199,"TRIM22","tripartite motif containing 22",10346,"11","n/a","n/a"
1092035,"ENSG00000121060",7662,"TRIM25","tripartite motif containing 25",7706,"17","n/a","n/a"
1105260,"ENSG00000204713",5955,"TRIM27","tripartite motif containing 27",5987,"6","n/a","n/a"
280119284,"ENSG00000258659",33145,"TRIM34","tripartite motif containing 34",53840,"11","n/a","n/a"
1089774,"ENSG00000104228",22842,"TRIM35","tripartite motif containing 35",23087,"8","n/a","n/a"
1096482,"ENSG00000152503",34810,"TRIM36","tripartite motif containing 36",55521,"5","n/a","n/a"
1090418,"ENSG00000108395",4565,"TRIM37","tripartite motif containing 37",4591,"17","n/a","n/a"
1090951,"ENSG00000112343",10328,"TRIM38","tripartite motif containing 38",10475,"6","n/a","n/a"
1105209,"ENSG00000204599",35937,"TRIM39","tripartite motif containing 39",56658,"6","n/a","n/a"
1095723,"ENSG00000146063",59987,"TRIM41","tripartite motif containing 41",90933,"5","n/a","n/a"
1096855,"ENSG00000155890",95054,"TRIM42","tripartite motif containing 42",287015,"3","n/a","n/a"
1095435,"ENSG00000144015",79395,"TRIM43","tripartite motif containing 43",129868,"2","n/a","n/a"
1098779,"ENSG00000166326",34054,"TRIM44","tripartite motif containing 44",54765,"11","n/a","n/a"
1097962,"ENSG00000163462",55929,"TRIM46","tripartite motif containing 46",80128,"1","n/a","n/a"
1093509,"ENSG00000132481",60003,"TRIM47","tripartite motif containing 47",91107,"17","n/a","n/a"
1096214,"ENSG00000150244",54936,"TRIM48","tripartite motif containing 48",79097,"11","n/a","n/a"
1099441,"ENSG00000168930",36371,"TRIM49","tripartite motif containing 49",57093,"11","n/a","n/a"
1093463,"ENSG00000132256",59533,"TRIM5","tripartite motif containing 5",85363,"11","n/a","n/a"
1095806,"ENSG00000146755",79651,"TRIM50","tripartite motif containing 50",135892,"7","n/a","n/a"
1102417,"ENSG00000183718",59041,"TRIM52","tripartite motif containing 52",84851,"5","n/a","n/a"
1094526,"ENSG00000138100",36435,"TRIM54","tripartite motif containing 54",57159,"2","n/a","n/a"
1095919,"ENSG00000147573",58873,"TRIM55","tripartite motif containing 55",84675,"8","n/a","n/a"
1097762,"ENSG00000162722",25642,"TRIM58","tripartite motif containing 58",25893,"1","n/a","n/a"
1105825,"ENSG00000213186",94932,"TRIM59","tripartite motif containing 59",286827,"3","n/a","n/a"
1101143,"ENSG00000176979",81681,"TRIM60","tripartite motif containing 60",166655,"4","n/a","n/a"
1102335,"ENSG00000183439",124356,"TRIM61","tripartite motif containing 61",391712,"4","n/a","n/a"
1091475,"ENSG00000116525",34512,"TRIM62","tripartite motif containing 62",55223,"1","n/a","n/a"
1097115,"ENSG00000158022",58874,"TRIM63","tripartite motif containing 63",84676,"1","n/a","n/a"
1103763,"ENSG00000189253",158827,"TRIM64B","tripartite motif containing 64B",642446,"11","n/a","n/a"
1106206,"ENSG00000214891",167314,"TRIM64C","tripartite motif containing 64C",646754,"11","n/a","n/a"
1095072,"ENSG00000141569",83634,"TRIM65","tripartite motif containing 65",201292,"17","n/a","n/a"
1091784,"ENSG00000119283",133890,"TRIM67","tripartite motif containing 67",440730,"1","n/a","n/a"
1099032,"ENSG00000167333",34417,"TRIM68","tripartite motif containing 68",55128,"11","n/a","n/a"
1102936,"ENSG00000185880",80043,"TRIM69","tripartite motif containing 69",140691,"15","n/a","n/a"
1095722,"ENSG00000146054",57468,"TRIM7","tripartite motif containing 7",81786,"5","n/a","n/a"
1101191,"ENSG00000177238",149570,"TRIM72","tripartite motif containing 72",493829,"16","n/a","n/a"
1101468,"ENSG00000178809",119594,"TRIM73","tripartite motif containing 73",375593,"7","n/a","n/a"
1096812,"ENSG00000155428",119674,"TRIM74","tripartite motif containing 74",378108,"7","n/a","n/a"
1099973,"ENSG00000171206",57285,"TRIM8","tripartite motif containing 8",81603,"10","n/a","n/a"
1089209,"ENSG00000100505",76941,"TRIM9","tripartite motif containing 9",114088,"14","n/a","n/a"
1102504,"ENSG00000184108",109774,"TRIML1","tripartite motif family-like 1",339976,"4","n/a","n/a"
1101513,"ENSG00000179046",83784,"TRIML2","tripartite motif family-like 2",205860,"4","n/a","n/a"
1099925,"ENSG00000171045",83709,"TSNARE1","t-SNARE domain containing 1",203062,"8","n/a","n/a"
1090529,"ENSG00000109103",8971,"UNC119","unc-119 homolog (C. elegans)",9094,"17","n/a","n/a"
1100946,"ENSG00000175970",58943,"UNC119B","unc-119 homolog B (C. elegans)",84747,"12","n/a","n/a"
1093182,"ENSG00000130477",22780,"UNC13A","unc-13 homolog A (C. elegans)",23025,"19","n/a","n/a"
1094445,"ENSG00000137766",133462,"UNC13C","unc-13 homolog C (C. elegans)",440279,"15","n/a","n/a"
1094706,"ENSG00000139190",6803,"VAMP1","vesicle-associated membrane protein 1 (synaptobrevin 1)",6843,"12","n/a","n/a"
1087527,"ENSG00000049245",9206,"VAMP3","vesicle-associated membrane protein 3 (cellubrevin)",9341,"1","n/a","n/a"
1091626,"ENSG00000117533",8605,"VAMP4","vesicle-associated membrane protein 4",8674,"1","n/a","n/a"
1099429,"ENSG00000168899",10633,"VAMP5","vesicle-associated membrane protein 5 (myobrevin)",10791,"2","n/a","n/a"
1092415,"ENSG00000124333",6805,"VAMP7","vesicle-associated membrane protein 7",6845,"X","n/a","n/a"
1091735,"ENSG00000118640",8604,"VAMP8","vesicle-associated membrane protein 8 (endobrevin)",8673,"2","n/a","n/a"
1094795,"ENSG00000139719",41606,"VPS33A","vacuolar protein sorting 33 homolog A (S. cerevisiae)",65082,"12","n/a","n/a"
1102497,"ENSG00000184056",26024,"VPS33B","vacuolar protein sorting 33 homolog B (yeast)",26276,"15","n/a","n/a"
1094220,"ENSG00000136631",11147,"VPS45","vacuolar protein sorting 45 homolog (S. cerevisiae)",11311,"1","n/a","n/a"
1089222,"ENSG00000100568",10343,"VTI1B","vesicle transport through interaction with t-SNAREs homolog 1B (yeast)",10490,"14","n/a","n/a"
1090232,"ENSG00000106636",10505,"YKT6","YKT6 v-SNARE homolog (S. cerevisiae)",10652,"7","n/a","n/a"
